"","x"
"pop",5.80374434844906
"StringencyIndex_Average",-0.0126257487756398
"e_lag1",0.547411368322953
"t_p_corr_running_e",NA
"c_lag1",-0.503762107444488
"t_p_corr_running_c",NA
"e_lag2",1.07595359800202
"c_lag2",0.559230840567113
"e_lag3",0.866478156635079
"c_lag3",-0.148564424837401
"e_lag4",-0.492169810638011
"c_lag4",0.159069342763881
"e_lag5",0.807690156923596
"c_lag5",-0.946984837224154
"e_lag6",-0.261998692409481
"c_lag6",0.724088154640621
"e_lag1:t_p_corr_running_e",-0.740713176259637
"c_lag1:t_p_corr_running_c",0.678852608787308
"t_p_corr_running_e:e_lag2",-1.63586010601966
"t_p_corr_running_c:c_lag2",-0.389914765546384
"t_p_corr_running_e:e_lag3",-1.27957483340952
"t_p_corr_running_c:c_lag3",0.283941503330688
"t_p_corr_running_e:e_lag4",0.649975280598747
"t_p_corr_running_c:c_lag4",-0.806158029266831
"t_p_corr_running_e:e_lag5",-1.0519529072629
"t_p_corr_running_c:c_lag5",1.56132101739833
"t_p_corr_running_e:e_lag6",0.274959208507768
"t_p_corr_running_c:c_lag6",-0.673493650056357
