"","pop","StringencyIndex_Average","e_lag1","t_p_corr_running_e","c_lag1","t_p_corr_running_c","e_lag2","c_lag2","e_lag3","c_lag3","e_lag4","c_lag4","e_lag5","c_lag5","e_lag6","c_lag6","e_lag1:t_p_corr_running_e","c_lag1:t_p_corr_running_c","t_p_corr_running_e:e_lag2","t_p_corr_running_c:c_lag2","t_p_corr_running_e:e_lag3","t_p_corr_running_c:c_lag3","t_p_corr_running_e:e_lag4","t_p_corr_running_c:c_lag4","t_p_corr_running_e:e_lag5","t_p_corr_running_c:c_lag5","t_p_corr_running_e:e_lag6","t_p_corr_running_c:c_lag6"
"pop",0.180327622457667,-0.00015685735539502,0.000712552739883878,NA,-0.00726885855280958,NA,0.00135538080343473,0.00392432339084646,-0.00105316106966434,-0.00343318146495153,0.000579682570016312,-0.00115305257956234,0.000575119374341445,0.00496822448455157,-0.00130205125375563,-0.00323725353267064,-0.00119544106569865,0.00614558306855286,-0.00104309088508486,-0.00223783350885104,-0.000471451227606154,0.00362082006203002,-0.000808984978333045,0.000584210938635615,-0.000343549327790383,-0.00542844406247647,-0.000543885631324995,0.00406586624629439
"StringencyIndex_Average",-0.00015685735539502,1.27821470549622e-06,8.50340478457437e-06,NA,2.04409992768772e-05,NA,-4.26774895139372e-07,-1.96856469661891e-05,1.26207023773158e-05,8.43535701738409e-06,2.70244125871599e-06,5.21320484506294e-06,-1.25784041160412e-06,-8.58495581825273e-06,1.68934746880721e-05,-3.05125784034479e-07,1.03985025443786e-06,-5.34571406397225e-06,9.07328979559718e-07,1.94657169667862e-06,4.10090211102302e-07,-3.14955774122917e-06,7.03692770550348e-07,-5.08173853807038e-07,2.98835188278097e-07,4.72191319308578e-06,4.73097025303422e-07,-3.53667961730896e-06
"e_lag1",0.000712552739883878,8.50340478457437e-06,0.0891543102819685,NA,-0.00223221239838951,NA,-0.0639863986110587,-0.000829356255717976,0.0341779443363108,0.0106971707214084,-0.00499579274393491,-0.0109417071349237,-0.0160993114336846,0.0070395482488196,0.0131386247153096,-0.00178772985657249,-0.122885125265203,0.00306279956660674,0.088260131075986,0.000925049066653272,-0.0469873729289128,-0.0140157070054241,0.00667615397020827,0.0142846251317154,0.0225609163561831,-0.00927498928396455,-0.0182416936289136,0.00235637063493941
"t_p_corr_running_e",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"c_lag1",-0.00726885855280958,2.04409992768772e-05,-0.00223221239838951,NA,0.124003048601102,NA,-0.00893840049198159,-0.153442466678761,0.0122526647734035,0.0690857940894704,-0.00612245848113053,-0.00806796882014344,-0.000908307834211569,-0.000520028418070129,0.00550674206434004,-0.00195326668952952,0.00298599748427718,-0.177013359661566,0.0118587023189778,0.219018695370905,-0.0158795617309495,-0.098878436748034,0.00807662545545504,0.0120806795538223,0.00114393799457595,0.000302654764076174,-0.00686468246666832,0.00275708508752228
"t_p_corr_running_c",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"e_lag2",0.00135538080343473,-4.26774895139372e-07,-0.0639863986110587,NA,-0.00893840049198159,NA,0.133181998253946,0.010169736779719,-0.0846106374443863,-0.0129311190275332,0.0369109756221972,0.0189174007701442,0.00272453625333018,-0.0162996778634268,-0.017244945812715,0.00763445089296509,0.0882552675914451,0.0122679119221105,-0.183455701511518,-0.0138955652303902,0.116420519933896,0.0172209957670602,-0.0506626664278691,-0.0249641122545563,-0.00405929551207608,0.0215397028634889,0.0240362434198716,-0.0101960218393414
"c_lag2",0.00392432339084646,-1.96856469661891e-05,-0.000829356255717976,NA,-0.153442466678761,NA,0.010169736779719,0.314366785182966,-0.0231089593345198,-0.238815409255822,0.0195957456686287,0.0801486979288694,-0.00613274947402631,-0.00964234628825519,-0.00422032236784119,0.00263052881134708,0.000876924352718356,0.219062231463929,-0.0134414621668501,-0.449098727475457,0.0301531673904656,0.341343857930246,-0.0256985709074988,-0.115115502173049,0.00803743776121661,0.0143774058435901,0.00519719407086714,-0.00381779826739406
"e_lag3",-0.00105316106966434,1.26207023773158e-05,0.0341779443363108,NA,0.0122526647734035,NA,-0.0846106374443863,-0.0231089593345198,0.1366623536079,0.0186119911463296,-0.079767230742312,-0.016141035242883,0.0326588119294287,0.018604058680911,-0.00201038610592695,-0.00943198593508047,-0.0469785283279922,-0.0164794457479357,0.116430155388699,0.0312104716007256,-0.187940442656801,-0.0250940549994296,0.10981552916278,0.0216029677765065,-0.0450121107154398,-0.0248570236430426,0.00284024699528234,0.0125398956924163
"c_lag3",-0.00343318146495153,8.43535701738409e-06,0.0106971707214084,NA,0.0690857940894704,NA,-0.0129311190275332,-0.238815409255822,0.0186119911463296,0.353802605266043,-0.026073950245861,-0.245705218652579,0.0181806950265397,0.0826597366087155,-0.00458700511503173,-0.0104116000985856,-0.0135422584576506,-0.098849487622422,0.016643786749368,0.341307666135275,-0.0242329417970437,-0.505123002236469,0.0340944504759254,0.350634867969274,-0.023659693716749,-0.118110326361139,0.00603891888398274,0.0149876649820459
